Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
10.0,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",FRENTE PARA LA VICTORIA,41.31,58.69,82728,117545,85.46,240112,205194,1.55,0.06,0.79,3178,118,1625,BUENOS AIRES
11.0,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",CAMBIEMOS,50.67,49.33,30688,29874,84.55,73621,62246,1.79,0.08,0.84,1113,48,523,BUENOS AIRES
12.0,BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",CAMBIEMOS,59.16,40.84,13684,9445,81.38,28974,23580,0.98,0.05,0.88,231,12,208,BUENOS AIRES
13.0,BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",CAMBIEMOS,56.75,43.25,15903,12121,82.24,35039,28816,1.19,0.06,1.51,342,16,434,BUENOS AIRES
14.0,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",CAMBIEMOS,56.76,43.24,10062,7664,84.28,21480,18103,0.92,0.03,1.14,166,5,206,BUENOS AIRES
15.0,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",CAMBIEMOS,53.53,46.47,32071,27843,84.02,73015,61345,1.14,0.04,1.15,700,26,705,BUENOS AIRES
16.0,BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",CAMBIEMOS,59.08,40.92,5729,3968,82.85,11909,9867,1.14,0.01,0.58,112,1,57,BUENOS AIRES
17.0,BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",CAMBIEMOS,61.87,38.13,9145,5636,80.88,18618,15058,1.6,0.01,0.23,241,2,34,BUENOS AIRES
18.0,BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",CAMBIEMOS,61.91,38.09,4957,3050,83.53,9806,8191,1.62,0.01,0.61,133,1,50,BUENOS AIRES
19.0,BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",CAMBIEMOS,52.68,47.32,5311,4770,82.29,12405,10208,1.13,0.01,0.11,115,1,11,BUENOS AIRES
20.0,BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",CAMBIEMOS,54.42,45.58,3295,2760,84.48,7294,6162,0.78,0.06,0.89,48,4,55,BUENOS AIRES
21.0,BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",FRENTE PARA LA VICTORIA,46.69,53.31,15058,17194,83.61,39377,32922,1.0,0.02,1.02,328,6,336,BUENOS AIRES
22.0,BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",CAMBIEMOS,55.53,44.47,17931,14357,82.74,39875,32991,1.18,0.04,0.92,388,13,302,BUENOS AIRES
23.0,BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",CAMBIEMOS,65.88,34.12,16173,8375,82.86,30390,25181,2.19,0.02,0.31,551,4,78,BUENOS AIRES
24.0,BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",CAMBIEMOS,51.45,48.55,23359,22045,83.63,55589,46491,1.43,0.03,0.87,666,16,405,BUENOS AIRES
