id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",UNION POR LA PATRIA,4.29,0.26,0.18,0.93,22.07,22.56,0.43,0.14,0.47,0.5,0.21,1.43,0.14,0.22,46.17,1573.0,94.0,65.0,341.0,8094.0,8275.0,159.0,53.0,174.0,182.0,77.0,523.0,53.0,82.0,16935.0,68.61,58068,39841,7.2,0.37,0.36,2868,148,BUENOS AIRES
BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",UNION POR LA PATRIA,3.19,0.52,0.25,0.94,25.71,31.13,0.37,0.22,0.34,0.47,0.21,0.67,0.34,0.19,35.43,3867.0,633.0,306.0,1145.0,31156.0,37724.0,445.0,268.0,418.0,571.0,255.0,814.0,412.0,231.0,42929.0,66.96,196562,131623,7.07,0.24,0.63,9309,317,BUENOS AIRES
BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",UNION POR LA PATRIA,4.15,0.17,0.37,1.29,25.19,30.29,0.45,0.33,0.47,0.72,0.29,1.03,0.24,0.12,34.9,6365.0,259.0,568.0,1974.0,38626.0,46445.0,688.0,500.0,717.0,1111.0,437.0,1583.0,365.0,186.0,53508.0,68.93,239202,164879,5.84,0.18,0.98,9625,304,BUENOS AIRES
BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",JUNTOS POR EL CAMBIO,2.03,0.5,0.16,1.32,34.59,29.46,0.25,0.23,0.26,0.2,0.28,0.8,0.0,0.0,29.91,422.0,103.0,33.0,275.0,7190.0,6124.0,52.0,48.0,55.0,41.0,59.0,166.0,0.0,0.0,6217.0,69.82,32393,22616,6.69,0.57,0.84,1513,128,BUENOS AIRES
BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",UNION POR LA PATRIA,3.33,0.15,0.4,0.79,22.17,32.09,0.36,0.26,0.42,0.49,0.31,0.87,0.11,0.21,38.04,2895.0,127.0,348.0,690.0,19286.0,27915.0,314.0,224.0,369.0,427.0,272.0,757.0,92.0,179.0,33082.0,66.81,142812,95419,8.23,0.08,0.54,7852,79,BUENOS AIRES
BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",UNION POR LA PATRIA,4.33,0.43,0.34,1.1,18.38,27.72,0.48,0.09,0.5,0.61,0.3,1.22,0.4,0.16,43.93,8672.0,863.0,688.0,2192.0,36778.0,55458.0,969.0,177.0,993.0,1229.0,610.0,2437.0,798.0,321.0,87894.0,64.96,335077,217666,7.34,0.18,0.56,15980,384,BUENOS AIRES
BUENOS AIRES_FLORENTINO AMEGHINO,"Florentino Ameghino, Buenos Aires",JUNTOS POR EL CAMBIO,0.81,0.42,0.08,0.68,43.85,17.34,0.06,0.25,0.19,0.19,0.06,0.17,0.87,0.0,35.05,43.0,22.0,4.0,36.0,2317.0,916.0,3.0,13.0,10.0,10.0,3.0,9.0,46.0,0.0,1852.0,69.77,8134,5675,5.83,0.19,0.86,331,11,BUENOS AIRES
BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",JUNTOS POR EL CAMBIO,1.95,0.01,0.14,0.63,38.86,26.35,0.23,0.22,0.43,0.5,0.17,0.75,0.11,0.0,29.63,477.0,3.0,33.0,154.0,9486.0,6432.0,56.0,53.0,106.0,122.0,41.0,184.0,27.0,1.0,7233.0,68.08,38617,26291,6.2,0.21,0.76,1629,55,BUENOS AIRES
BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",JUNTOS POR EL CAMBIO,0.73,0.0,0.11,0.54,50.18,23.26,0.13,0.14,0.2,0.07,0.07,0.5,0.0,0.0,24.08,41.0,0.0,6.0,30.0,2805.0,1300.0,7.0,8.0,11.0,4.0,4.0,28.0,0.0,0.0,1346.0,68.83,8966,6171,9.22,0.16,0.03,569,10,BUENOS AIRES
BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",JUNTOS POR EL CAMBIO,0.6,0.25,0.07,1.46,46.41,28.66,0.11,0.21,0.2,0.34,0.06,0.74,0.02,0.0,20.86,58.0,24.0,7.0,141.0,4489.0,2772.0,11.0,20.0,19.0,33.0,6.0,72.0,2.0,0.0,2018.0,68.54,15304,10489,7.28,0.17,0.33,764,18,BUENOS AIRES
