id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",FRENTE DE TODOS,4.65,1.15,50.95,0.63,0.05,39.67,0.32,0.09,0.05,2.43,258,64,2830,35,3,2203,18,5,3,135,77.17,7618,5879,4.56,0.36,0.61,268,21,36,BUENOS AIRES
BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",FRENTE DE TODOS,7.28,3.54,54.15,1.11,0.2,31.48,0.57,0.12,0.1,1.45,2318,1127,17239,352,65,10020,180,39,31,462,77.3,42983,33227,3.56,0.13,0.5,1184,44,166,BUENOS AIRES
BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",FRENTE DE TODOS,6.34,2.29,48.32,0.92,0.22,38.62,1.18,0.09,0.09,1.91,1971,712,15013,287,69,12000,368,29,27,594,77.62,41538,32241,2.7,0.13,0.8,871,42,258,BUENOS AIRES
BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",JUNTOS POR EL CAMBIO,9.87,2.74,40.14,1.04,0.13,43.63,0.62,0.1,0.07,1.65,2308,642,9391,243,30,10207,146,24,17,386,75.2,33236,24992,6.11,0.16,0.12,1527,40,31,BUENOS AIRES
BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",FRENTE DE TODOS,18.39,2.21,46.88,0.98,0.38,28.64,0.49,0.07,0.09,1.89,8066,968,20565,429,166,12562,215,32,38,827,78.37,58236,45640,3.29,0.15,0.44,1501,68,203,BUENOS AIRES
BUENOS AIRES_COLON,"Colon, Buenos Aires",FRENTE DE TODOS,4.78,2.12,58.29,1.54,0.31,30.73,0.46,0.06,0.07,1.65,766,340,9346,247,49,4927,73,9,12,265,77.96,21295,16601,2.89,0.11,0.42,480,18,69,BUENOS AIRES
BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",JUNTOS POR EL CAMBIO,8.42,2.1,39.34,1.22,0.19,46.15,0.45,0.21,0.09,1.84,755,188,3529,109,17,4140,40,19,8,165,69.47,13594,9444,4.36,0.3,0.36,412,28,34,BUENOS AIRES
BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",JUNTOS POR EL CAMBIO,9.73,3.79,39.89,3.2,0.24,40.85,0.49,0.0,0.17,1.64,1376,536,5642,452,34,5778,69,0,24,232,74.33,20120,14955,4.53,0.16,0.74,678,24,110,BUENOS AIRES
BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel Rosales, Buenos Aires",JUNTOS POR EL CAMBIO,10.06,2.71,25.15,3.75,0.28,53.83,0.63,0.19,0.09,3.3,3496,940,8738,1304,97,18700,219,66,32,1146,75.38,48507,36565,4.0,0.17,0.82,1464,62,301,BUENOS AIRES
BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",FRENTE DE TODOS,8.66,3.1,46.37,1.44,0.34,36.81,0.47,0.12,0.1,2.59,2173,779,11640,362,85,9242,118,31,24,650,77.74,34125,26529,4.07,0.3,1.01,1079,79,267,BUENOS AIRES
