id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.7,1.03,2.82,36.88,2.42,21.15,2697,78,213,2786,183,1598,85.37,9187,7843,3.23,0.03,0.42,253,2,33
BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",ALIANZA CAMBIEMOS,39.94,1.01,3.32,32.29,3.28,20.16,156044,3949,12953,126173,12812,78779,74.46,540300,402288,1.85,0.06,0.96,7446,260,3872
BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,30.87,1.16,2.67,38.34,2.13,24.83,15690,592,1356,19489,1083,12624,80.7,65875,53161,3.61,0.09,0.67,1919,50,358
BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.66,0.9,4.06,34.51,3.02,24.86,80459,2214,9993,85009,7432,61227,76.52,330387,252811,1.85,0.06,0.65,4671,159,1647
BUENOS AIRES_GENERAL VIAMONTE,"General Viamonte, Buenos Aires",ALIANZA CAMBIEMOS,39.27,1.59,1.35,34.57,1.69,21.53,4489,182,154,3951,193,2461,82.97,14230,11806,2.77,0.04,0.37,327,5,44
BUENOS AIRES_GENERAL VILLEGAS,"General Villegas, Buenos Aires",ALIANZA CAMBIEMOS,40.46,1.77,1.44,17.86,1.58,36.9,7619,333,271,3362,297,6947,82.62,23601,19498,3.01,0.02,0.41,586,4,79
BUENOS AIRES_ADOLFO GONZALES CHAVES,"Gonzales Chaves, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.27,0.83,1.82,42.55,2.37,20.17,2660,68,150,3507,195,1662,83.78,10420,8730,4.97,0.18,0.44,434,16,38
BUENOS AIRES_GUAMINI,"Guamini, Buenos Aires",ALIANZA CAMBIEMOS,42.27,0.6,1.07,41,1.48,13.57,3080,44,78,2988,108,989,84.91,8839,7505,2.81,0.01,0.08,211,1,6
BUENOS AIRES_HIPOLITO YRIGOYEN,"Hipolito Yrigoyen, Buenos Aires",ALIANZA CAMBIEMOS,43.77,0.84,1.3,37.62,1.09,15.39,2457,47,73,2112,61,864,81.7,7173,5860,3.82,0.09,0.29,224,5,17
BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.97,0.92,3.94,37.01,3.26,25.91,32982,1051,4482,42136,3710,29501,79.92,146145,116796,1.79,0.08,0.64,2096,93,745
BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.35,0.94,4.15,35.11,4.46,22.99,35586,1037,4561,38618,4905,25292,81.02,138879,112518,1.81,0.07,0.36,2034,75,410
BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,19.24,1.02,3.98,49.5,1.91,24.35,30110,1597,6222,77445,2984,38099,79.81,203933,162749,3.07,0.07,0.73,5002,110,1180
BUENOS AIRES_BENITO JUAREZ,"Juarez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.36,0.64,2.63,37.85,2.91,22.61,4346,83,342,4931,379,2946,82.03,16447,13491,2.74,0.01,0.69,369,2,93
BUENOS AIRES_JUNIN,"Junin, Buenos Aires",ALIANZA CAMBIEMOS,38.72,2.32,2.38,28.93,2.87,24.78,22999,1377,1415,17186,1702,14717,80.79,75964,61373,2.64,0.04,0.54,1618,27,332
BUENOS AIRES_LA COSTA,"La Costa, Buenos Aires",ALIANZA CAMBIEMOS,38.21,1.05,3.66,33.92,2.15,21.01,18203,502,1743,16160,1023,10011,75.05,65517,49173,2.1,0.25,0.76,1035,124,372
BUENOS AIRES_LA PLATA,"La Plata, Buenos Aires",ALIANZA CAMBIEMOS,41.11,0.91,5.75,29.89,4.64,17.7,163852,3616,22939,119144,18494,70553,77.18,531539,410229,2.14,0.14,0.55,8778,582,2271
BUENOS AIRES_LANUS,"Lanus, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.5,0.73,4.15,37.21,2.99,21.41,96588,2093,11979,107297,8634,61727,77.93,378409,294911,1.73,0.05,0.45,5116,146,1331
BUENOS AIRES_LAPRIDA,"Laprida, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,41.16,0.6,1.48,44.5,1.97,10.28,3026,44,109,3272,145,756,82.75,9156,7577,2.56,0.08,0.33,194,6,25
BUENOS AIRES_LAS FLORES,"Las Flores, Buenos Aires",ALIANZA CAMBIEMOS,40.31,0.93,2.29,33.67,4.35,18.46,6356,146,361,5309,686,2911,82.78,19906,16479,3.85,0.01,0.45,634,2,74
BUENOS AIRES_GENERAL LAS HERAS,"Las Heras, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,30.63,0.7,1.76,36.86,1.33,28.73,2927,67,168,3522,127,2745,83.36,11780,9820,2.25,0.05,0.39,221,5,38
BUENOS AIRES_LEANDRO N. ALEM,"Leandro N. Alem, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,36.9,2.11,1.97,36.93,1.77,20.32,4310,246,230,4314,207,2374,81.95,14647,12003,2.39,0.01,0.28,287,1,34
BUENOS AIRES_LEZAMA,"Lezama, Buenos Aires",ALIANZA CAMBIEMOS,43.96,0.55,1.32,39.88,1.64,12.65,1765,22,53,1601,66,508,87.17,4746,4137,2.76,0.1,0.1,114,4,4
BUENOS AIRES_LINCOLN,"Lincoln, Buenos Aires",ALIANZA CAMBIEMOS,44.62,1.1,1.61,34.13,1.89,16.66,13023,320,471,9962,551,4862,84.77,35330,29949,2.17,0.03,0.34,649,8,103
BUENOS AIRES_LOBERIA,"Loberia, Buenos Aires",ALIANZA CAMBIEMOS,47.3,0.58,1.57,34.12,1.44,15,5395,66,179,3892,164,1711,82.76,14239,11784,2.58,0.04,0.58,304,5,68
BUENOS AIRES_LOBOS,"Lobos, Buenos Aires",ALIANZA CAMBIEMOS,44.87,1.1,2.37,31.12,2.19,18.35,10519,257,556,7296,514,4303,83.19,29075,24188,2.73,0.03,0.31,660,8,75
BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.61,0.85,4.24,44.26,3.2,18.85,105326,3114,15611,162952,11785,69404,76.18,497657,379103,2.24,0.07,0.57,8496,273,2142
BUENOS AIRES_LUJAN,"Lujan, Buenos Aires",ALIANZA CAMBIEMOS,42.85,1.48,2.82,28.1,3.09,21.65,27378,948,1803,17953,1977,13832,80.75,81511,65823,2.21,0.05,0.67,1457,33,442
BUENOS AIRES_MAGDALENA,"Magdalena, Buenos Aires",ALIANZA CAMBIEMOS,40.21,0.78,2.46,26.15,2.12,28.28,4309,84,264,2802,227,3030,81.18,13631,11065,2.8,0.08,0.27,310,9,30
BUENOS AIRES_MAIPU,"Maipu, Buenos Aires",ALIANZA CAMBIEMOS,50.87,0.89,2.42,26.67,1.93,17.21,3867,68,184,2027,147,1308,83.26,9500,7910,3.49,0.06,0.35,276,5,28
BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,18.55,0.73,3.82,42.11,1.74,33.05,36435,1435,7495,82720,3427,64928,83.09,243702,202499,2.5,0.07,0.42,5071,139,849
BUENOS AIRES_MAR CHIQUITA,"Mar Chiquita, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,39.42,0.88,1.94,40.05,1.97,15.73,6641,149,327,6746,332,2650,81.78,21168,17311,2.13,0.08,0.49,368,14,84
BUENOS AIRES_MARCOS PAZ,"Marcos Paz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,21.87,0.91,3.02,44.77,2.01,27.43,6860,286,946,14044,630,8606,79.49,40876,32493,2.75,0.09,0.61,894,30,197
BUENOS AIRES_LA MATANZA,"Matanza, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,23.12,0.97,4.08,48.19,2.42,21.22,170371,7138,30099,355043,17858,156319,76.63,992574,760639,2.59,0.07,0.47,19692,517,3602
BUENOS AIRES_MERCEDES,"Mercedes, Buenos Aires",ALIANZA CAMBIEMOS,39.06,1.09,2.85,32.99,1.88,22.12,16435,459,1199,13881,793,9308,83.33,51907,43254,2.07,0.06,0.6,896,25,258
BUENOS AIRES_MERLO,"Merlo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,20.22,0.94,3.79,47.71,2.46,24.87,58145,2717,10896,137161,7083,71515,79.37,373940,296803,2.42,0.07,0.63,7190,221,1875
BUENOS AIRES_MONTE,"Monte, Buenos Aires",ALIANZA CAMBIEMOS,35.95,0.82,1.82,31.51,1.84,28.05,5105,117,259,4475,261,3984,81.27,17951,14589,2.37,0.01,0.27,346,2,40
BUENOS AIRES_MONTE HERMOSO,"Monte Hermoso, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.59,0.92,2.32,40.52,1.78,18.87,2041,53,133,2324,102,1082,76.14,7909,6022,3.72,0.56,0.48,224,34,29
BUENOS AIRES_MORENO,"Moreno, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,20.48,1.07,3.56,46.33,2.46,26.11,50194,2627,8719,113552,6033,63991,79.71,318677,254033,2.74,0.11,0.66,6955,282,1680
BUENOS AIRES_MORON,"Moron, Buenos Aires",ALIANZA CAMBIEMOS,38.18,0.85,4.02,31.25,4.82,20.88,80199,1792,8439,65653,10122,43871,78.62,273068,214686,1.47,0.07,0.61,3161,148,1301
BUENOS AIRES_NAVARRO,"Navarro, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,38.75,1.9,1.15,40.94,1.22,16.04,4266,209,127,4508,134,1766,85.03,13342,11345,2.38,0.09,0.48,270,10,55
BUENOS AIRES_NECOCHEA,"Necochea, Buenos Aires",ALIANZA CAMBIEMOS,48.03,0.98,2.42,24.23,2.89,21.44,28505,582,1439,14382,1718,12727,76.89,79523,61144,2.16,0.03,0.73,1322,20,449
BUENOS AIRES_9 DE JULIO,"Nueve De Julio, Buenos Aires",ALIANZA CAMBIEMOS,45.84,0.88,2.03,29.87,3.05,18.33,14773,283,653,9624,983,5908,82.59,39955,32999,1.85,0.04,0.46,610,12,153
BUENOS AIRES_OLAVARRIA,"Olavarria, Buenos Aires",ALIANZA CAMBIEMOS,35.61,1.25,3.45,29.3,2.19,28.2,25809,909,2503,21236,1590,20437,80.79,92959,75097,2.66,0.06,0.76,1999,46,568
BUENOS AIRES_PATAGONES,"Patagones, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,36.44,0.73,1.83,36.86,2.17,21.97,6866,137,345,6946,409,4140,77.96,24979,19474,2.76,0.04,0.44,538,8,85
BUENOS AIRES_PEHUAJO,"Pehuajo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.24,1.26,1.96,35.71,2.04,23.79,9300,333,516,9422,539,6278,81.46,33684,27440,3.01,0.04,0.78,827,10,215
BUENOS AIRES_PELLEGRINI,"Pellegrini, Buenos Aires",ALIANZA CAMBIEMOS,47.95,0.65,0.99,21.22,1.88,27.31,1984,27,41,878,78,1130,83.9,5149,4320,4.05,0.02,0.14,175,1,6
BUENOS AIRES_PERGAMINO,"Pergamino, Buenos Aires",ALIANZA CAMBIEMOS,45.35,1.61,2.41,27.68,2.27,20.69,30654,1089,1626,18714,1532,13985,80.84,86356,69814,2.35,0.07,0.75,1638,49,527
BUENOS AIRES_PILA,"Pila, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.34,0.51,0.83,37.59,1.42,28.31,797,13,21,956,36,720,87.08,3011,2622,2.9,0.04,0.08,76,1,2
BUENOS AIRES_PILAR,"Pilar, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.06,1.07,3.18,38.81,2.02,19.86,59030,1796,5351,65355,3409,33448,80.33,216510,173933,2.27,0.16,0.76,3940,275,1329
BUENOS AIRES_PINAMAR,"Pinamar, Buenos Aires",ALIANZA CAMBIEMOS,45.71,1.13,2.75,27.02,2.58,20.81,7625,188,459,4507,431,3471,68.78,25362,17443,3.15,0.45,0.77,549,78,135
BUENOS AIRES_PRESIDENTE PERON,"Presidente Peron, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,17.69,0.88,3.91,46.37,1.6,29.56,8076,402,1783,21166,729,13492,80.29,59376,47674,3.41,0.14,0.7,1625,69,332
