id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
BUENOS AIRES_PILA,"Pila, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.34,0.51,0.83,37.59,1.42,28.31,797,13,21,956,36,720,87.08,3011,2622,2.9,0.04,0.08,76,1,2,BUENOS AIRES
BUENOS AIRES_PILAR,"Pilar, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.06,1.07,3.18,38.81,2.02,19.86,59030,1796,5351,65355,3409,33448,80.33,216510,173933,2.27,0.16,0.76,3940,275,1329,BUENOS AIRES
BUENOS AIRES_PINAMAR,"Pinamar, Buenos Aires",ALIANZA CAMBIEMOS,45.71,1.13,2.75,27.02,2.58,20.81,7625,188,459,4507,431,3471,68.78,25362,17443,3.15,0.45,0.77,549,78,135,BUENOS AIRES
BUENOS AIRES_PRESIDENTE PERON,"Presidente Peron, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,17.69,0.88,3.91,46.37,1.6,29.56,8076,402,1783,21166,729,13492,80.29,59376,47674,3.41,0.14,0.7,1625,69,332,BUENOS AIRES
BUENOS AIRES_PUAN,"Puan, Buenos Aires",ALIANZA CAMBIEMOS,56.6,0.86,2.1,22.45,3.13,14.86,6340,96,235,2515,351,1665,80.57,14299,11521,2.27,0.02,0.49,261,2,56,BUENOS AIRES
BUENOS AIRES_PUNTA INDIO,"Punta Indio, Buenos Aires",ALIANZA CAMBIEMOS,42.01,1.09,2.32,40.76,1.73,12.08,2786,72,154,2703,115,801,80.0,8723,6978,4.37,0.17,0.43,305,12,30,BUENOS AIRES
BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.5,0.78,3.97,40.03,2.61,20.12,109620,2623,13389,135026,8791,67852,78.06,445232,347552,2.43,0.07,0.45,8448,243,1560,BUENOS AIRES
BUENOS AIRES_RAMALLO,"Ramallo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,34.12,0.84,2.11,37.02,3.06,22.85,7326,181,452,7948,657,4906,85.6,26036,22288,3.43,0.04,0.2,764,9,45,BUENOS AIRES
BUENOS AIRES_RAUCH,"Rauch, Buenos Aires",ALIANZA CAMBIEMOS,42.45,0.67,2.27,39.24,2.61,12.76,4331,68,232,4004,266,1302,87.08,12274,10688,4.34,0.05,0.15,464,5,16,BUENOS AIRES
BUENOS AIRES_RIVADAVIA,"Rivadavia, Buenos Aires",ALIANZA CAMBIEMOS,48.39,1.03,1.3,15.52,2.01,31.75,5192,110,140,1665,216,3407,84.26,13233,11150,3.61,0.04,0.12,402,5,13,BUENOS AIRES
BUENOS AIRES_ROJAS,"Rojas, Buenos Aires",ALIANZA CAMBIEMOS,46.7,1.63,1.81,21.73,2.49,25.64,7440,259,288,3462,397,4085,84.32,19766,16666,3.81,0.04,0.56,635,6,94,BUENOS AIRES
BUENOS AIRES_ROQUE PEREZ,"Roque Perez, Buenos Aires",ALIANZA CAMBIEMOS,40.01,0.67,1.77,33.14,1.36,23.05,3036,51,134,2515,103,1749,82.15,9682,7954,3.94,0.06,0.6,313,5,48,BUENOS AIRES
BUENOS AIRES_SAAVEDRA,"Saavedra, Buenos Aires",ALIANZA CAMBIEMOS,42.6,0.78,2.17,29.97,5.1,19.38,5674,104,289,3992,679,2582,77.54,17678,13708,1.71,0.04,1.07,235,6,147,BUENOS AIRES
BUENOS AIRES_SALADILLO,"Saladillo, Buenos Aires",ALIANZA CAMBIEMOS,49.85,0.95,2.44,27.0,0.8,18.95,10448,199,512,5658,168,3972,81.26,26889,21850,3.33,0.01,0.75,727,3,163,BUENOS AIRES
BUENOS AIRES_SALLIQUELO,"Salliquelo, Buenos Aires",ALIANZA CAMBIEMOS,46.78,0.69,0.82,34.04,1.28,16.38,2696,40,47,1962,74,944,82.56,7363,6079,4.92,0.12,0.16,299,7,10,BUENOS AIRES
BUENOS AIRES_SALTO,"Salto, Buenos Aires",ALIANZA CAMBIEMOS,36.19,1.43,3.27,31.53,3.42,24.16,7520,297,679,6552,711,5019,80.27,26670,21409,2.68,0.0,0.26,574,1,56,BUENOS AIRES
BUENOS AIRES_SAN ANDRES DE GILES,"San Andres De Giles, Buenos Aires",ALIANZA CAMBIEMOS,34.6,1.21,1.67,29.09,2.12,31.31,5075,178,245,4267,311,4592,82.9,18564,15389,4.51,0.04,0.14,694,6,21,BUENOS AIRES
