,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
483,SANTIAGO DEL ESTERO_BANDA,"Banda, Santiago Del Estero",FRENTE DE TODOS,4.08,1.15,73.52,1.63,18.65,0.97,3933,1114,70937,1572,17999,937,80.26,122227,98101,0.96,0.1,0.58,942,102,565
484,SANTIAGO DEL ESTERO_BELGRANO,"Belgrano, Santiago Del Estero",FRENTE DE TODOS,2.84,0.5,55.27,2,38.75,0.64,172,30,3346,121,2346,39,78.27,7851,6145,0.96,0.11,0.41,59,7,25
485,SANTIAGO DEL ESTERO_CAPITAL,"Capital, Santiago Del Estero",FRENTE DE TODOS,5.31,1.45,64.6,1.92,25.29,1.42,10049,2754,122271,3643,47875,2692,81.76,236406,193274,1.22,0.12,0.72,2349,240,1401
486,SANTIAGO DEL ESTERO_CHOYA,"Choya, Santiago Del Estero",FRENTE DE TODOS,2.72,0.96,79.47,1.02,15.04,0.79,630,222,18404,237,3482,183,78.94,29869,23580,1.11,0.13,0.56,261,30,131
487,SANTIAGO DEL ESTERO_COPO,"Copo, Santiago Del Estero",FRENTE DE TODOS,1.27,0.62,84.4,1.27,12.11,0.33,220,107,14637,221,2101,57,75.67,23165,17529,0.7,0.1,0.26,123,18,45
488,SANTIAGO DEL ESTERO_FIGUEROA,"Figueroa, Santiago Del Estero",FRENTE DE TODOS,0.88,0.26,93.18,1.58,3.8,0.3,91,27,9639,163,393,31,75.99,13736,10438,0.61,0.15,0.13,64,16,14
489,SANTIAGO DEL ESTERO_GUASAYAN,"Guasayan, Santiago Del Estero",FRENTE DE TODOS,1.03,0.44,92.97,0.35,4.92,0.28,58,25,5252,20,278,16,81.52,7017,5720,0.8,0.07,0.37,46,4,21
490,SANTIAGO DEL ESTERO_JIMENEZ,"Jimenez, Santiago Del Estero",FRENTE DE TODOS,1.06,0.37,91.02,0.26,7.21,0.1,87,30,7476,21,592,8,77.67,10670,8287,0.65,0.01,0.22,54,1,18
491,SANTIAGO DEL ESTERO_JUAN F. IBARRA,"Juan F. Ibarra, Santiago Del Estero",FRENTE DE TODOS,0.95,0.57,81.83,5.42,10.92,0.31,101,60,8672,574,1157,33,79.54,13431,10683,0.66,0.01,0.14,70,1,15
492,SANTIAGO DEL ESTERO_LORETO,"Loreto, Santiago Del Estero",FRENTE DE TODOS,2.29,0.75,79.13,1.12,16.1,0.62,313,102,10827,153,2203,85,76.01,18237,13862,0.87,0.04,0.38,120,6,53
493,SANTIAGO DEL ESTERO_MITRE,"Mitre, Santiago Del Estero",FRENTE DE TODOS,1.78,0.14,70.41,1.23,26.3,0.14,13,1,514,9,192,1,69.63,1080,752,2.13,0.27,0.53,16,2,4
494,SANTIAGO DEL ESTERO_MORENO,"Moreno, Santiago Del Estero",FRENTE DE TODOS,1.57,0.51,78.79,1.68,17.15,0.31,313,101,15721,335,3422,62,77.1,26195,20197,0.76,0.07,0.37,154,15,74
495,SANTIAGO DEL ESTERO_OJO DE AGUA,"Ojo De Agua, Santiago Del Estero",FRENTE DE TODOS,2.14,0.57,76.24,1.02,19.52,0.5,213,57,7594,102,1944,50,79.12,12818,10141,1.18,0.09,0.51,120,9,52
496,SANTIAGO DEL ESTERO_PELLEGRINI,"Pellegrini, Santiago Del Estero",FRENTE DE TODOS,1.17,0.17,87.06,0.59,10.74,0.27,155,23,11572,78,1428,36,77.93,17206,13409,0.58,0.1,0.19,78,13,26
497,SANTIAGO DEL ESTERO_QUEBRACHOS,"Quebrachos, Santiago Del Estero",FRENTE DE TODOS,2.93,0.78,76.94,0.47,18.02,0.87,176,47,4621,28,1082,52,76.63,7994,6126,1.26,0.08,0.62,77,5,38
498,SANTIAGO DEL ESTERO_RIO HONDO,"Rio Hondo, Santiago Del Estero",FRENTE DE TODOS,2.58,0.97,83.91,1.03,10.72,0.78,975,368,31689,388,4048,296,79.75,48178,38424,1,0.02,0.7,383,9,268
499,SANTIAGO DEL ESTERO_RIVADAVIA,"Rivadavia, Santiago Del Estero",FRENTE DE TODOS,2.61,0.62,53.75,0.45,42.16,0.41,76,18,1563,13,1226,12,83.44,3527,2943,0.78,0.24,0.17,23,7,5
500,SANTIAGO DEL ESTERO_ROBLES,"Robles, Santiago Del Estero",FRENTE DE TODOS,2.61,0.59,78.65,1.32,16.34,0.5,780,175,23493,394,4882,148,80.91,37434,30288,0.92,0.01,0.44,280,4,132
501,SANTIAGO DEL ESTERO_SALAVINA,"Salavina, Santiago Del Estero",FRENTE DE TODOS,0.94,0.25,88.97,0.63,8.96,0.25,63,17,5968,42,601,17,76.68,8838,6777,0.81,0.01,0.19,55,1,13
502,SANTIAGO DEL ESTERO_SAN MARTIN,"San Martin, Santiago Del Estero",FRENTE DE TODOS,1.14,0.4,92.07,0.57,5.64,0.18,62,22,5024,31,308,10,77.63,7089,5503,0.73,0.04,0.07,40,2,4
503,SANTIAGO DEL ESTERO_SARMIENTO,"Sarmiento, Santiago Del Estero",FRENTE DE TODOS,1.14,0.28,89.26,0.45,8.58,0.28,28,7,2194,11,211,7,76.88,3223,2478,0.56,0,0.24,14,0,6
504,SANTIAGO DEL ESTERO_SILIPICA,"Silipica, Santiago Del Estero",FRENTE DE TODOS,1.34,0.67,90.18,0.49,6.99,0.32,80,40,5365,29,416,19,82.28,7321,6024,1.01,0,0.23,61,0,14
505,SANTIAGO DEL ESTERO_GENERAL TABOADA,"Taboada, Santiago Del Estero",FRENTE DE TODOS,2.14,0.63,77.64,2.36,16.67,0.57,563,165,20467,621,4396,151,80.29,33321,26752,1.13,0.05,0.28,301,14,74
506,TIERRA DEL FUEGO_ANTARTIDA ARGENTINA,"Antartida Argentina, Tierra Del Fuego",JUNTOS POR EL CAMBIO,1.75,0,4.39,0.88,89.47,3.51,2,0,5,1,102,4,69.13,230,159,0.63,27.04,0.63,1,43,1
507,TIERRA DEL FUEGO_RIO GRANDE,"Rio Grande, Tierra Del Fuego",FRENTE DE TODOS,7.53,2.3,61.96,4.11,21.39,2.71,3925,1198,32302,2142,11153,1411,76.92,69997,53841,1.53,0.05,1.59,825,28,857
508,TIERRA DEL FUEGO_TOLHUIN,"Tolhuin, Tierra Del Fuego",FRENTE DE TODOS,6.72,1.64,58.83,6.91,24.73,1.17,213,52,1865,219,784,37,75.77,4370,3311,1.75,0.03,2.48,58,1,82
509,TIERRA DEL FUEGO_USHUAIA,"Ushuaia, Tierra Del Fuego",FRENTE DE TODOS,7.87,3.39,51.03,3.36,31.42,2.93,3414,1471,22142,1457,13634,1270,75.03,59698,44793,1.07,0.1,1.96,479,46,880
510,TUCUMAN_JUAN BAUTISTA ALBERDI,"Alberdi, Tucuman",FRENTE DE TODOS,2.98,0.8,66.31,1.2,28.13,0.58,618,166,13746,249,5831,120,83.26,25208,20989,0.48,0.1,0.66,101,20,138
511,TUCUMAN_BURRUYACU,"Burruyacu, Tucuman",FRENTE DE TODOS,2.62,0.5,75.89,1.17,19.52,0.3,718,137,20758,319,5338,83,81.17,34126,27699,0.57,0.15,0.53,158,42,146
512,TUCUMAN_CAPITAL,"Capital, Tucuman",FRENTE DE TODOS,4.91,1.62,45.81,2.54,44.1,1.02,17605,5830,164415,9106,158268,3676,81.55,449601,366654,0.85,0.1,1.16,3134,379,4241
513,TUCUMAN_CHICLIGASTA,"Chicligasta, Tucuman",FRENTE DE TODOS,3.68,0.73,62.11,1.8,30.61,1.08,2080,413,35128,1017,17314,609,84.54,67873,57381,0.45,0.11,0.87,258,64,498
514,TUCUMAN_CRUZ ALTA,"Cruz Alta, Tucuman",FRENTE DE TODOS,3.67,1.14,67.81,2.12,24.61,0.65,4764,1475,88023,2750,31945,842,84.36,156586,132096,0.75,0.12,0.87,989,163,1145
515,TUCUMAN_FAMAILLA,"Famailla, Tucuman",FRENTE DE TODOS,4.06,1.04,67.02,2.03,25.18,0.68,969,247,15983,483,6004,161,81.03,30059,24356,1.02,0.14,0.92,249,35,225
